strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
ND|Yale-JC0202|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0203|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0205|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	none	none	none
ND|Yale-JC0206|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Culiseta_inornata	Multi_Culiseta	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0207|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0208|2005	JCV		2005-07-19	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0209|2005	JCV		2005-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0211|2005	JCV		2005-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0212|2005	JCV		2005-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0213|2005	JCV		2005-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0214|2005	JCV		2005-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0215|2005	JCV		2005-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0217|2005	JCV		2005-08-02	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0218|2005	JCV		2005-08-02	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_dorsalis	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0219|2005	JCV		2005-08-02	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
