strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
CT|Yale-JC0597|2018	JCV		2018-08-01	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0598|2018	JCV		2018-08-01	Connecticut	Fairfield_CT	Fairfield_CT		M	Bourgikos						Aedes_thibaulti	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0599|2018	JCV		2018-08-02	Connecticut	Fairfield_CT	Redding_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0600|2018	JCV		2018-08-08	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0601|2018	JCV		2018-08-22	Connecticut	Fairfield_CT	Stamford_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	A	A.1	A.1
CT|Yale-JC0602.1|2019	JCV		2019-06-04	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0603|2019	JCV		2019-06-17	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0604.1|2019	JCV		2019-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0605|2019	JCV		2019-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0606|2019	JCV		2019-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC607.1|2019	JCV		2019-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0608|2019	JCV		2019-06-18	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0609|2019	JCV		2019-06-20	Connecticut	Fairfield_CT	Westport_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0610.1|2019	JCV		2019-07-01	Connecticut	Fairfield_CT	Shelton_CT		M	Bourgikos						Aedes_thibaulti	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0611|2019	JCV		2019-07-09	Connecticut	Fairfield_CT	Fairfield_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0612|2019	JCV		2019-07-10	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0613|2019	JCV		2019-07-10	Connecticut	Hartford_CT	South-Windsor_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0614|2019	JCV		2019-07-11	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0615|2019	JCV		2019-07-11	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0616|2019	JCV		2019-07-15	Connecticut	Windham_CT	Hampton_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	B	B	B
CT|Yale-JC0618|2019	JCV		2019-07-16	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0619|2019	JCV		2019-07-18	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0620|2019	JCV		2019-07-18	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0621|2019	JCV		2019-07-24	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0622|2019	JCV		2019-07-29	Connecticut	Middlesex_CT	Haddam_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0623|2019	JCV		2019-08-05	Connecticut	Hartford_CT	Southington_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0624|2019	JCV		2019-09-04	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0628|2020	JCV		2020-06-09	Connecticut	Fairfield_CT	Westport_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0629|2020	JCV		2020-06-15	Connecticut	New-London_CT	North-Stonington_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0630|2020	JCV		2020-07-01	Connecticut	Fairfield_CT	Bridgeport_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0631|2020	JCV		2020-07-13	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0632|2020	JCV		2020-07-13	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0633|2020	JCV		2020-07-15	Connecticut	Litchfield_CT	Litchfield_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0634|2020	JCV		2020-07-21	Connecticut	Fairfield_CT	Bethel_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0635|2020	JCV		2020-07-21	Connecticut	Fairfield_CT	Danbury_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0636|2020	JCV		2020-07-22	Connecticut	New-London_CT	Franklin_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	B	B	B.0
CT|Yale-JC0638.1|2021	JCV		2021-06-02	Connecticut	Tolland_CT	Somers_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0639|2021	JCV		2021-06-03	Connecticut	Litchfield_CT	Canaan_CT		M	Bourgikos						Aedes_provocans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0641|2021	JCV		2021-06-08	Connecticut	Windham_CT	Plainfield_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
CT|Yale-JC0643|2021	JCV		2021-06-29	Connecticut	Windham_CT	Canterbury_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0644|2021	JCV		2021-07-12	Connecticut	Fairfield_CT	Shelton_CT		M	Bourgikos						Aedes_thibaulti	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0645|2021	JCV		2021-07-20	Connecticut	New-Haven_CT	New-Haven_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0646|2021	JCV		2021-07-21	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0647|2021	JCV		2021-07-21	Connecticut	Hartford_CT	New-Britain_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0648|2021	JCV		2021-07-26	Connecticut	Hartford_CT	Wethersfield_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.2
CT|Yale-JC0649|2021	JCV		2021-07-27	Connecticut	Litchfield_CT	Cornwall_CT		M	Bourgikos						Aedes_thibaulti	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0650|2021	JCV		2021-07-28	Connecticut	Fairfield_CT	Easton_CT		M	Bourgikos						Aedes_cinereus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0651|2021	JCV		2021-08-10	Connecticut	Hartford_CT	Farmington_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0652|2021	JCV		2021-08-10	Connecticut	New-London_CT	Salem_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	B	B	B.0
CT|Yale-JC0654|2021	JCV		2021-08-25	Connecticut	Fairfield_CT	Newtown_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0656|2022	JCV		2022-06-13	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0657|2022	JCV		2022-06-15	Connecticut	New-London_CT	Voluntown_CT		M	Bourgikos						Aedes_excrucians	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0658|2022	JCV		2022-06-22	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0659|2022	JCV		2022-07-06	Connecticut	Hartford_CT	Farmington_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
CT|Yale-JC0660|2022	JCV		2022-07-18	Connecticut	New-Haven_CT	Hamden_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0661|2022	JCV		2022-07-18	Connecticut	Fairfield_CT	Redding_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0662|2022	JCV		2022-07-19	Connecticut	Hartford_CT	Hartford_CT		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0663|2022	JCV		2022-08-03	Connecticut	Tolland_CT	Columbia_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
CT|Yale-JC0664|2022	JCV		2022-08-11	Connecticut	New-Haven_CT	Wallingford_CT		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
PA|Yale-JC0807|2023	JCV		2023-08-22	Pennsylvania	Bucks_PA	Warminster_PA		M	Bourgikos						Unknown	Unknown	Unknown	A	A.1	A.1
PA|Yale-JC0813|2023	JCV		2023-09-13	Pennsylvania	Northumberland_PA	West_Chillisquaque_PA		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.1
PA|Yale-JC0822|2023	JCV		2023-09-28	Pennsylvania	Armstrong_PA	Rayburn_PA		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1
MI|Yale-JC0775|2023	JCV		2023-06-30	Michigan	Bay_MI	Unknown_Bay_MI		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.2	A.2
